名称,总价（万）,均价,成交日期,位置
天合凯旋城 5室2厅 195.4平米,370,18936元,2017-08-22,青羊
时代尊邸 5室1厅 201.4平米,370,18371元,2015-10-14,锦江
保利贝森公馆 4室2厅 188.65平米,370,19614元,2017-03-05,青羊
西派国际 4室2厅 219平米,370,16894元,2016-04-11,高新区
双楠名城 5室2厅 266.66平米,370,13876元,2017-07-21,武侯
龙湖世纪峰景 4室2厅 381.96平米,370,9687元,2016-09-14,高新区
观城 3室2厅 135.43平米,370,27321元,2017-05-25,成华
四海逸家华府 4室1厅 87.74平米,370,42171元,2017-12-04,锦江
金沙鹭岛二期 3室2厅 129平米,370,28683元,2017-12-10,青羊
时代尊城 3室2厅 132.16平米,370,27997元,2017-12-10,青羊
鹭岛国际社区三期 5室2厅 265平米,370,13963元,2017-03-28,武侯
时代豪庭 2室1厅 113.17平米,370,32695元,2017-12-04,锦江
中海龙湾半岛 3室2厅 139.51平米,370,26522元,2017-12-07,武侯
华润凤凰城 3室2厅 132平米,370,28031元,2017-12-20,高新区
成都花园别墅 4室2厅 238平米,370,15546元,2015-08-19,青羊
龙湖世纪峰景 3室2厅 378.48平米,370,9776元,2016-08-05,高新区
雅典国际社区 5室2厅 260平米,370,14231元,2017-03-27,武侯
西派国际 4室2厅 219.45平米,370,16860元,2016-05-21,高新区
中海城南一号 4室2厅 224平米,369,16509元,2016-06-30,高新区
博瑞都市花园 4室2厅 188.67平米,369,19548元,2017-09-30,青羊
雅典国际社区 4室2厅 175.66平米,369,20996元,2017-09-15,武侯
海珀香庭 5室2厅 269平米,368,13680元,2016-03-01,武侯
绿地锦天府 3室2厅 307平米,368,11987元,2015-12-24,锦江
凯德风尚 3室2厅 146.08平米,368,25192元,2017-12-02,青羊
中海龙湾半岛 4室2厅 166.45平米,368,22109元,2017-09-30,武侯
四海逸家蓝钻 4室2厅 87平米,368,42299元,2017-03-19,锦江
四海逸家三期 4室2厅 88平米,368,41819元,2018-01-13,锦江
珠江御景湾 4室2厅 190.24平米,368,19344元,2018-01-22,温江
仁恒滨河湾 3室2厅 178平米,368,20674元,2017-02-10,锦江
中粮祥云国际生活区二期 3室2厅 143.66平米,368,25617元,2017-12-23,武侯
中粮香榭丽都 4室2厅 169.23平米,368,21746元,2018-01-17,武侯
天鹅星座 5室3厅 267平米,367,13746元,2017-11-08,青羊
中粮香榭丽都 5室2厅 199.84平米,367,18359元,2017-02-12,武侯
誉峰 4室2厅 188平米,366,19468元,2016-11-28,高新区
龙湖世纪峰景 4室2厅 380平米,366,9632元,2015-09-26,高新区
国信滨河雅居 5室3厅 261.67平米,366,13987元,2015-10-24,武侯
银泰花园 5室3厅 397.87平米,366,9199元,2017-07-15,双流
绿地锦天府 3室2厅 323.07平米,366,11329元,2016-09-13,锦江
中海九号公馆 4室2厅 189.78平米,366,19285元,2016-09-03,高新区
誉峰 4室2厅 194.14平米,366,18852元,2016-08-14,高新区
中海龙湾半岛别墅 4室2厅 213.44平米,365,17101元,2016-08-27,武侯
南苑小区 4室2厅 202平米,365,18069元,2016-03-01,高新区
蜀郡 4室2厅 241.43平米,365,15119元,2017-11-22,天府新区
成都雅居乐花园别墅 4室2厅 317平米,365,11514元,2017-01-16,天府新区
观城 4室2厅 127平米,365,28741元,2017-11-13,成华
粼江峰阁 4室2厅 170.1平米,365,21458元,2017-09-12,锦江
童子街庭苑 4室2厅 156.56平米,365,23314元,2017-09-18,青羊
龙湖三千城 5室2厅 264平米,365,13826元,2015-05-29,成华
保利翡翠谷 4室2厅 370.09平米,365,9863元,2018-02-01,新都
南湖国际社区 6室3厅 587.56平米,365,6212元,2016-12-29,天府新区
天府世家 3室2厅 113.23平米,365,32236元,2017-08-19,高新区
天府世家 3室2厅 113平米,365,32301元,2017-11-18,高新区
鹭岛国际社区二期 3室2厅 172.23平米,365,21193元,2017-11-25,武侯
名景园 3室2厅 162平米,365,22531元,2017-09-16,青羊
成都ICC 3室2厅 159.6平米,365,22870元,2017-07-25,锦江
万科城市花园 4室2厅 137.27平米,365,26590元,2017-07-22,锦江
金沙鹭岛 3室2厅 151.33平米,365,24120元,2017-12-04,青羊
华侨城天鹅堡 4室2厅 177.02平米,365,20620元,2018-01-17,金牛
长城园 3室2厅 282.72平米,365,12910元,2016-06-19,青羊
南湖国际社区 6室3厅 587.56平米,365,6212元,2016-12-14,天府新区
中铁西郡英华 5室2厅 246.15平米,365,14829元,2017-05-08,郫都区
华润二十四城二期 5室2厅 117.11平米,365,31168元,2017-10-12,成华
龙湖北城天街二期 5室2厅 226.46平米,364,16073元,2016-09-20,金牛
誉峰 4室2厅 193平米,364,18860元,2015-08-13,高新区
复地雍湖湾别墅 4室2厅 197平米,363,18426元,2015-05-01,高新区
鹭岛国际社区二期 4室2厅 200.68平米,363,18088元,2016-11-15,武侯
西派国际 4室2厅 219平米,363,16575元,2016-03-01,高新区
时代豪庭 2室1厅 111.72平米,363,32492元,2017-10-17,锦江
天府欣苑 4室2厅 189平米,363,19206元,2016-09-16,高新区
西派国际 4室2厅 218平米,362,16605元,2016-01-01,高新区
中海九号公馆 3室1厅 137.03平米,362,26418元,2017-03-06,高新区
誉峰 4室2厅 206平米,362,17572元,2016-03-01,高新区
蓝光公馆1881 4室2厅 216.26平米,362,16739元,2016-11-01,高新区
华侨城东岸 4室3厅 207.55平米,362,17442元,2015-10-15,金牛
保利花园 3室2厅 234.71平米,362,15424元,2017-11-23,武侯
华润金悦湾 4室2厅 211.24平米,362,17137元,2017-01-19,青羊
晶融汇 2室2厅 94.51平米,362,38303元,2018-01-26,锦江
世茂玉锦湾 5室2厅 258.75平米,361,13952元,2016-11-03,成华
育才竹岛 5室2厅 238.23平米,361,15154元,2017-10-10,高新区
世纪城天鹅湖 4室2厅 294.77平米,360,12213元,2016-11-10,高新区
世茂玉锦湾 4室2厅 260.17平米,360,13837元,2016-07-28,成华
东骏湖景湾 5室3厅 418.22平米,360,8608元,2016-06-20,新都
中粮祥云国际生活区一期 4室3厅 246.39平米,360,14611元,2017-01-20,武侯
绿地锦天府 3室2厅 308平米,360,11688元,2015-08-27,锦江
翡翠城 3室2厅 136.54平米,360,26366元,2017-07-06,锦江
中海龙湾半岛 4室2厅 213.62平米,360,16852元,2017-01-09,武侯
春天花园 3室2厅 177.78平米,360,20250元,2016-10-22,青羊
中海龙湾半岛 4室2厅 165.83平米,360,21709元,2017-10-15,武侯
誉峰 4室2厅 201平米,360,17910元,2016-03-01,高新区
天合凯旋城 4室2厅 201.61平米,360,17857元,2017-05-27,青羊
时代尊邸 3室2厅 217.87平米,360,16524元,2016-07-19,锦江
锦城世家 3室2厅 122.56平米,360,29374元,2018-01-14,金牛
康郡 3室2厅 175.12平米,360,20558元,2017-04-24,锦江
华润二十四城二期 5室2厅 117.11平米,360,30741元,2017-08-15,成华
德馨苑 5室2厅 160.57平米,360,22421元,2017-09-30,锦江
时代豪庭 3室2厅 143平米,360,25175元,2017-03-23,锦江
华置都汇华庭 3室2厅 127.99平米,360,28128元,2017-10-31,锦江
中粮御嶺湾 4室2厅 305.76平米,360,11774元,2017-11-27,龙泉
博瑞都市花园 4室2厅 183.98平米,360,19568元,2017-04-06,青羊
南延新苑 4室2厅 171.18平米,360,21031元,2017-07-17,高新区
靓碧天苑 3室2厅 160平米,360,22500元,2017-09-03,锦江
建发中央鹭洲 5室2厅 138.94平米,360,25911元,2017-10-09,高新区
时代晶科名苑 3室2厅 143.67平米,360,25058元,2018-02-05,高新区
中建桐梓林壹号 3室2厅 125.93平米,360,28588元,2017-09-10,高新区
成都后花园二期 4室2厅 291.22平米,360,12362元,2017-09-11,郫都区
成都雅居乐花园别墅 7室2厅 432.7平米,360,8320元,2018-01-24,天府新区
建发金沙里 3室2厅 127平米,360,28347元,2018-01-22,青羊
仁和春天国际花园 4室2厅 160.11平米,360,22485元,2016-11-03,高新区
翡翠城三期 4室2厅 172.37平米,360,20885元,2016-11-09,锦江
仁恒滨河湾 4室2厅 223.75平米,360,16089元,2016-06-06,锦江
世茂玉锦湾 4室2厅 301.41平米,360,11944元,2016-11-07,成华
华敏世家花园 5室2厅 323平米,360,11145元,2016-04-21,高新区
天府花园二期 6室2厅 303平米,360,11882元,2017-03-24,武侯
时代豪庭 2室2厅 155平米,360,23226元,2017-10-29,锦江
世纪城天鹅湖 4室2厅 244.98平米,360,14696元,2017-12-24,高新区
华润二十四城二期 4室2厅 90.22平米,360,39903元,2017-11-24,成华
上海东韵 4室2厅 155平米,360,23194元,2018-01-17,锦江
天府世家 3室2厅 113.52平米,360,31713元,2017-03-09,高新区
翡翠城 4室2厅 152平米,360,23684元,2015-04-14,锦江
天悦府 4室2厅 168.71平米,360,21338元,2016-10-10,高新区
长城半岛城邦三期 4室2厅 179.85平米,359,19933元,2017-01-15,高新区
中海龙湾半岛 3室2厅 140.24平米,359,25599元,2017-12-17,武侯
仁和春天国际花园 3室2厅 166.45平米,358,21508元,2017-02-25,高新区
复地雍湖湾 4室2厅 140.88平米,358,25412元,2017-08-23,高新区
翡翠城三期 4室2厅 138平米,358,25943元,2017-06-05,锦江
翡翠城四期 5室2厅 216平米,358,16574元,2016-12-21,锦江
成都国奥村 4室2厅 206平米,358,17379元,2017-02-23,双流
时代豪庭 3室2厅 155平米,358,23097元,2017-09-27,锦江
华润凤凰城三期 4室2厅 183平米,358,19570元,2016-09-25,高新区
麓山国际社区茵特拉肯 4室2厅 226.14平米,358,15831元,2017-12-12,天府新区
锦官丽城亲水湾 3室2厅 305.8平米,358,11707元,2016-10-30,天府新区
天府世家 3室2厅 113.26平米,358,31609元,2017-05-22,高新区
保利康桥 3室2厅 186平米,358,19247元,2017-02-13,成华
鹭岛国际社区三期 2室2厅 188.41平米,357,18949元,2017-12-06,武侯
仁恒滨河湾 4室2厅 224平米,356,15892元,2016-03-01,锦江
华府金沙 4室2厅 141.16平米,356,25220元,2017-05-19,青羊
银泰泰悦湾 3室2厅 113.09平米,356,31480元,2018-02-10,高新区
华侨城纯水岸二期 4室2厅 143平米,356,24896元,2018-01-22,金牛
中海城南华府 3室2厅 134.5平米,356,26454元,2016-11-19,高新区
凯德风尚 3室2厅 167.66平米,356,21222元,2017-09-27,青羊
华润二十四城三期 5室2厅 198平米,356,17980元,2015-09-10,成华
中海金沙府 4室2厅 177.26平米,355,20028元,2017-06-09,青羊
中央花园城市别墅 6室3厅 270平米,355,13133元,2016-09-01,武侯
中海城南一号 4室2厅 193.58平米,355,18339元,2016-07-29,高新区
仁恒滨河湾 3室2厅 176.7平米,355,20079元,2016-10-09,锦江
龙湖世纪峰景 4室2厅 280平米,355,12679元,2015-08-03,高新区
鹭岛国际社区二期 4室2厅 247.29平米,355,14356元,2015-11-11,武侯
绿地锦天府 3室2厅 185平米,355,19189元,2017-02-18,锦江
时代豪庭 3室2厅 172.52平米,355,20577元,2016-09-25,锦江
时代尊邸 3室2厅 217.84平米,355,16296元,2016-07-19,锦江
天府世家 4室2厅 135.2平米,355,26257元,2016-10-12,高新区
华润凤凰城三期 4室2厅 155平米,355,22903元,2017-02-13,高新区
锦江花园城 6室3厅 388.34平米,355,9142元,2017-07-17,武侯
汇锦城 4室2厅 203.24平米,355,17468元,2017-08-10,高新区
神仙树大院 4室2厅 155.5平米,355,22830元,2017-10-23,高新区
时代尊城 6室2厅 291.51平米,355,12178元,2016-12-22,青羊
华润凤凰城 3室2厅 139.57平米,355,25436元,2018-01-12,高新区
中建桐梓林壹号 3室2厅 127.98平米,355,27739元,2017-12-23,高新区
龙湖世纪峰景 4室2厅 381.19平米,355,9313元,2016-09-10,高新区
东湖国际 3室2厅 142.34平米,355,24941元,2018-01-15,锦江
天韵金沙 3室2厅 178.15平米,355,19928元,2017-05-13,青羊
金沙鹭岛 3室2厅 165.02平米,355,21513元,2017-09-06,青羊
鹭岛国际社区二期 4室2厅 247.3平米,355,14355元,2016-11-20,武侯
天府欣苑 4室2厅 189.52平米,355,18732元,2016-05-20,高新区
中海翠屏湾 3室2厅 141.24平米,354,25029元,2018-01-14,高新区
翡翠城三期 4室2厅 162.7平米,354,21758元,2016-12-25,锦江
天府欣苑 4室2厅 190平米,353,18578元,2016-04-01,高新区
绿地锦天府 3室2厅 184.8平米,353,19102元,2017-03-13,锦江
万科金域西岭 4室2厅 168.22平米,353,20985元,2017-11-08,金牛
时代豪庭 2室1厅 112.81平米,353,31292元,2017-10-12,锦江
绿水康城别墅 5室2厅 219.9平米,353,16053元,2017-09-23,天府新区
成都ICC 3室2厅 155.36平米,353,22722元,2017-04-14,锦江
翡翠城四期 4室2厅 216.81平米,352,16235元,2015-06-25,锦江
中海峰墅 0室0厅 316.16平米,352,11143元,2016-01-18,高新西区
鹭岛国际社区二期 3室2厅 282.26平米,352,12471元,2017-02-25,武侯
华润金悦湾 4室3厅 249.33平米,352,14118元,2016-07-15,青羊
龙湖世纪峰景 4室2厅 175.9平米,352,19983元,2016-11-09,高新区
观南上域 3室2厅 135.03平米,352,26069元,2017-12-03,武侯
天府欣苑 4室2厅 189平米,352,18624元,2016-09-18,高新区
天府世家 3室2厅 135.18平米,352,26039元,2016-09-12,高新区
上海花园 4室2厅 158.88平米,352,22156元,2018-01-07,高新区
银泰泰悦湾 4室2厅 195.88平米,352,17970元,2017-01-20,高新区
天府世家 3室2厅 113.5平米,352,31014元,2017-03-08,高新区
仁和春天国际花园 3室2厅 166平米,352,21205元,2017-02-22,高新区
交大庭院 5室3厅 173.26平米,351,20276元,2017-11-27,武侯
滨河湾 4室0厅 224平米,350,15625元,2015-04-25,锦江
华侨城天鹅堡 4室2厅 291.22平米,350,12018元,2016-07-30,金牛
中海城南华府 3室2厅 135平米,350,26022元,2016-09-27,高新区
誉峰 4室2厅 200平米,350,17500元,2016-04-11,高新区
观城 4室2厅 209.03平米,350,16744元,2016-10-26,成华
保利花园 4室2厅 138.73平米,350,25229元,2018-01-09,武侯
麓山国际逸翠谷 3室3厅 207平米,350,16908元,2015-10-02,天府新区
银泰泰悦湾 4室2厅 152.18平米,350,23000元,2017-07-27,高新区
川报锦苑 3室2厅 125.61平米,350,27865元,2017-08-21,锦江
翡翠城五期 5室2厅 181平米,350,19385元,2016-06-30,锦江
华敏世家花园 4室3厅 324平米,350,10802元,2016-03-01,高新区
蔚蓝卡地亚 5室3厅 289平米,350,12109元,2016-07-30,天府新区
神仙树大院二期 4室2厅 169.51平米,350,20648元,2017-03-12,高新区
龙湖三千城 4室2厅 245平米,350,14285元,2016-04-01,成华
天府欣苑 4室2厅 189平米,350,18476元,2016-08-31,高新区
翠拥天地 5室2厅 253.87平米,350,13787元,2017-03-01,天府新区
齐力花园 4室2厅 170.25平米,350,20559元,2017-11-30,青羊
仁恒滨河湾 4室2厅 223.75平米,350,15642元,2015-11-06,锦江
保利花园 5室2厅 180平米,350,19445元,2017-05-26,武侯
时代尊城 5室2厅 242.3平米,350,14445元,2016-12-29,青羊
中德英伦联邦A区 6室2厅 177.26平米,350,19746元,2017-03-06,高新区
中海龙湾半岛 3室2厅 141.62平米,350,24715元,2017-10-24,武侯
西子香荷 4室2厅 139.43平米,350,25103元,2018-01-13,青羊
银泰泰悦湾 3室2厅 111.96平米,350,31262元,2018-02-10,高新区
金沙云庭 3室1厅 162平米,350,21592元,2016-03-01,青羊
誉峰 4室2厅 192.26平米,350,18205元,2016-09-13,高新区
中海城南华府 4室2厅 186.24平米,350,18793元,2016-09-03,高新区
时代尊邸 4室2厅 213.33平米,350,16407元,2015-08-08,锦江
首座 3室2厅 179.04平米,350,19549元,2017-08-10,武侯
翡翠城四期 4室2厅 216.82平米,350,16142元,2016-06-16,锦江
绿地锦天府 6室3厅 359平米,350,9749元,2016-03-01,锦江
龙湖世纪峰景 3室2厅 140.17平米,350,24970元,2017-11-29,高新区
中建桐梓林壹号 4室2厅 141.63平米,350,24713元,2018-01-07,高新区
世代锦江凯旋门 3室2厅 166.34平米,350,21042元,2017-08-30,锦江
复地雍湖湾 3室2厅 122.48平米,350,28577元,2017-12-17,高新区
天誉南庭 3室2厅 107平米,350,32711元,2017-12-17,锦江
晶融汇 2室2厅 89.96平米,350,38907元,2017-12-11,锦江
南苑小区 4室2厅 203.01平米,350,17241元,2016-01-04,高新区
西派国际 4室2厅 219.45平米,350,15949元,2016-01-03,高新区
龙湖世纪峰景 4室3厅 378.48平米,350,9248元,2016-06-20,高新区
龙湖世纪峰景 3室2厅 134.76平米,350,25973元,2018-01-25,高新区
乐天圣苑 3室2厅 112.41平米,350,31137元,2018-01-30,锦江
华润凤凰城 3室2厅 131.27平米,350,26663元,2018-01-29,高新区
南苑小区 4室2厅 183平米,350,19126元,2015-07-26,高新区
中海九号公馆 4室2厅 190平米,350,18441元,2016-08-30,高新区
时代尊城 4室2厅 219平米,350,15982元,2017-02-05,青羊
神仙树大院 4室2厅 173.26平米,350,20201元,2017-02-13,高新区
首座 4室2厅 247.94平米,350,14117元,2017-03-16,武侯
中海城南一号 5室2厅 184.59平米,350,18961元,2016-07-18,高新区
时代尊邸 3室2厅 202平米,350,17326元,2016-03-01,锦江
保利康桥 3室2厅 182.23平米,350,19206元,2017-02-10,成华
时代尊邸 4室2厅 215平米,350,16289元,2016-08-31,锦江
南城都汇四期 3室2厅 133.77平米,350,26165元,2017-03-16,高新区
西子香荷 4室2厅 142.45平米,349,24500元,2017-11-05,青羊
锦江时代花园 3室2厅 329.36平米,349,10597元,2017-06-29,青羊
桐梓林欧城 2室2厅 92.52平米,349,37722元,2018-01-25,武侯
誉峰 4室2厅 201.39平米,349,17330元,2016-09-20,高新区
天府欣苑 4室2厅 189.59平米,349,18408元,2015-07-05,高新区
中海金沙府 4室2厅 200平米,349,17430元,2016-04-19,青羊
远大林语城 5室2厅 291.04平米,349,11975元,2017-09-25,双流
万科魅力之城商铺 0室0厅 77.13平米,348,45119元,2015-11-13,成华
中粮祥云国际生活区一期 4室2厅 213.21平米,348,16322元,2016-10-28,武侯
桂溪苑 4室2厅 155.84平米,348,22331元,2017-03-11,高新区
金地嘉年华城 5室3厅 226.76平米,348,15347元,2017-07-11,金牛
龙光天悦龙庭 5室2厅 196平米,348,17756元,2017-09-02,锦江
中海城南一号 4室2厅 158.89平米,348,21902元,2016-07-07,高新区
四海逸家三期 4室2厅 97.39平米,348,35733元,2017-07-28,锦江
南湖国际社区 4室2厅 276.13平米,348,12603元,2017-12-20,天府新区
万科城市花园 3室2厅 124.54平米,347,27831元,2017-09-26,锦江
望江橡树林 3室2厅 130.42平米,347,26607元,2017-10-25,锦江
锦镇 5室3厅 265.15平米,347,13087元,2017-12-07,双流
四海逸家三期 4室2厅 124.45平米,346,27803元,2017-08-21,锦江
天悦府 3室2厅 131.05平米,346,26364元,2017-09-12,高新区
碧华邻 6室2厅 194平米,346,17835元,2016-02-01,青羊
金沙云庭 3室2厅 135.51平米,346,25496元,2016-11-25,青羊
锦天府 4室2厅 204.77平米,345,16848元,2016-10-27,锦江
西派国际 4室2厅 211平米,345,16350元,2016-01-01,高新区
仁和春天国际花园 4室2厅 178平米,345,19339元,2016-05-05,高新区
天府花园二期 6室2厅 296.91平米,345,11620元,2017-07-24,武侯
翡翠城二期 4室2厅 216平米,345,15973元,2017-03-11,锦江
金沙云庭 3室1厅 162平米,345,21341元,2016-09-30,青羊
四海逸家蓝钻 4室2厅 124.8平米,345,27644元,2017-02-12,锦江
仁和春天国际花园 4室2厅 185平米,345,18649元,2017-01-13,高新区
春语花间 5室3厅 212.53平米,345,16234元,2017-07-05,金牛
翡翠城五期 5室2厅 77平米,345,44805元,2016-03-01,锦江
国信滨河雅居 4室2厅 249.57平米,345,13824元,2016-03-10,武侯
新界四期 4室2厅 193.64平米,345,17817元,2017-05-27,武侯
仁和春天国际花园 3室2厅 137.93平米,345,25013元,2017-03-25,高新区
神仙树大院二期 4室2厅 150.97平米,345,22853元,2017-03-13,高新区
东城根中街9号院 4室2厅 129.71平米,345,26598元,2018-02-05,青羊
天府名居 4室2厅 168.63平米,345,20459元,2018-01-13,高新区
誉峰 4室2厅 206.67平米,345,16693元,2015-11-30,高新区
南湖国际社区 6室3厅 587.76平米,345,5870元,2016-12-29,天府新区
龙湖世纪峰景 3室1厅 148.64平米,345,23211元,2017-12-30,高新区
南苑小区 3室2厅 183平米,345,18852元,2016-04-21,高新区
康郡 4室2厅 176.52平米,345,19545元,2017-09-17,锦江
银泰泰悦湾 3室2厅 113.09平米,345,30507元,2017-12-01,高新区
东苑小区C 4室2厅 154.3平米,345,22360元,2017-10-11,高新区
南苑小区 4室2厅 182平米,345,18956元,2016-03-01,高新区
华润凤凰城三期 4室2厅 157.29平米,345,21935元,2017-03-16,高新区
南苑小区 4室2厅 183.85平米,345,18765元,2015-11-08,高新区
天鹅星座 4室2厅 253.88平米,344,13550元,2016-08-21,青羊
中海格林威治城 5室2厅 238平米,344,14442元,2016-09-29,武侯
华润凤凰城二期 4室2厅 157.53平米,344,21837元,2016-10-08,高新区
晶融汇 2室2厅 94.52平米,344,36395元,2017-10-31,锦江
天府世家 3室2厅 113平米,344,30434元,2017-02-19,高新区
天府世家 3室2厅 113.03平米,344,30417元,2017-02-12,高新区
建发金沙里 4室2厅 158平米,344,21772元,2017-02-17,青羊
时代尊邸 4室2厅 218平米,343,15734元,2015-09-03,锦江
仁恒滨河湾 4室2厅 224平米,343,15312元,2016-03-01,锦江
中华家园 4室2厅 163.52平米,343,20977元,2017-11-04,青羊
金沙云庭 3室2厅 127.25平米,343,26955元,2017-09-10,青羊
成都花园别墅 5室3厅 228.4平米,342,14974元,2017-02-26,青羊
国信滨河雅居 6室2厅 250平米,342,13680元,2016-03-01,武侯
锦城世家 4室2厅 245平米,342,13964元,2016-02-01,金牛
督院府邸 3室2厅 134.26平米,342,25473元,2017-12-01,锦江
龙湖世纪峰景 3室2厅 147.58平米,342,23174元,2017-10-27,高新区
保利金香槟 4室2厅 163.08平米,342,20971元,2017-01-14,青羊
龙光天悦龙庭 4室2厅 147.01平米,342,23264元,2018-02-05,锦江
天韵金沙 4室2厅 143.76平米,341,23720元,2016-11-13,青羊
天誉南庭 3室2厅 107.63平米,341,31683元,2017-11-28,锦江
龙湖世纪峰景 3室2厅 279.99平米,340,12143元,2016-10-22,高新区
三利宅院福邸 4室3厅 267.61平米,340,12705元,2017-04-02,高新区
时代尊邸 3室2厅 217.42平米,340,15638元,2016-05-11,锦江
中海城南一号 4室2厅 185平米,340,18378元,2016-01-01,高新区
华润凤凰城二期 5室2厅 157.53平米,340,21583元,2016-10-08,高新区
鹭岛国际社区二期 4室2厅 247.3平米,340,13748元,2016-09-22,武侯
金沙鹭岛 4室3厅 220.18平米,340,15442元,2016-11-21,青羊
浣花香 4室1厅 222.29平米,340,15295元,2016-06-24,青羊
蜀风花园城 4室2厅 209.63平米,340,16220元,2017-03-22,青羊
天府花园 4室3厅 185平米,340,18379元,2017-03-22,武侯
中海城南一号 4室2厅 184.69平米,340,18409元,2016-01-17,高新区
东苑小区C 4室2厅 153.83平米,340,22090元,2017-11-21,高新区
天悦府 4室2厅 168.82平米,340,20140元,2016-12-24,高新区
融创长滩壹号 4室3厅 261.37平米,340,13005元,2017-10-19,双流
中粮祥云国际生活区一期 4室2厅 159.31平米,340,21343元,2017-06-21,武侯
金府路6号院 5室3厅 249平米,340,13655元,2017-10-10,金牛
天鹅星座 4室2厅 220.44平米,340,15424元,2017-10-24,青羊
华润凤凰城 3室2厅 141.02平米,340,24111元,2017-10-24,高新区
龙光天悦龙庭 4室2厅 147平米,340,23130元,2017-12-25,锦江
齐力花园 4室2厅 204.17平米,340,16653元,2018-02-12,青羊
龙湖三千城 3室2厅 154平米,340,22078元,2017-08-31,成华
天府世家 4室2厅 203平米,340,16748元,2016-02-01,高新区
翡翠城四期 3室2厅 136.04平米,340,24993元,2017-03-16,锦江
乐天圣苑 3室2厅 112.41平米,340,30247元,2018-01-08,锦江
世纪朝阳 3室1厅 140.2平米,340,24252元,2017-12-22,锦江
世茂玉锦湾 3室2厅 141.12平米,340,24093元,2017-07-19,成华
鹭岛国际社区二期 3室2厅 142.03平米,340,23939元,2017-12-11,武侯
中环岛 3室2厅 123.93平米,340,27435元,2017-11-17,高新区
大地锦苑 4室2厅 181.05平米,340,18780元,2018-01-18,青羊
天涯庭苑 3室2厅 138.24平米,340,24595元,2017-12-10,锦江
复地雍湖湾 3室2厅 122.48平米,340,27760元,2017-12-10,高新区
龙湖世纪峰景 4室3厅 378.48平米,340,8983元,2016-06-22,高新区
誉峰 5室2厅 201平米,340,16915元,2015-07-25,高新区
三利宅院白云渡 5室2厅 345.69平米,340,9835元,2016-06-23,天府新区
仁和春天国际花园 4室2厅 258平米,340,13178元,2016-04-19,高新区
国信滨河雅居 5室2厅 164.22平米,340,20704元,2015-12-19,武侯
时代尊邸 4室2厅 213平米,340,15962元,2015-08-10,锦江
国信滨河雅居 5室2厅 269平米,340,12662元,2016-06-26,武侯
绿地锦天府 3室2厅 270平米,340,12593元,2015-10-12,锦江
绿地锦天府 4室3厅 320平米,340,10625元,2015-09-25,锦江
西派国际 4室2厅 165平米,339,20555元,2016-09-27,高新区
蓝光公馆1881 4室2厅 216平米,339,15676元,2016-05-02,高新区
时代尊邸 3室2厅 175.5平米,339,19316元,2016-09-13,锦江
香颂岛 5室3厅 273平米,338,12381元,2015-09-09,温江
龙城一号 4室2厅 269.36平米,338,12548元,2017-02-25,龙泉
西派国际 4室2厅 218平米,338,15481元,2016-02-01,高新区
金沙云庭 3室2厅 149.7平米,338,22578元,2016-11-22,青羊
仁恒滨河湾 4室2厅 217平米,338,15573元,2016-08-31,锦江
仁恒滨河湾 3室2厅 176平米,338,19205元,2016-08-16,锦江
中粮香榭丽都 4室2厅 169平米,338,20000元,2017-05-01,武侯
华润凤凰城 3室2厅 141.02平米,338,23933元,2017-03-10,高新区
翡翠城二期 5室2厅 228.92平米,338,14765元,2016-06-08,锦江
蜀风花园城 3室2厅 137.52平米,338,24579元,2017-11-17,青羊
天府世家 3室2厅 113.5平米,338,29780元,2017-11-26,高新区
保利心语二期 4室1厅 141.5平米,338,23887元,2017-09-17,高新区
汇锦城 3室2厅 138.16平米,338,24465元,2018-01-19,高新区
外滩 4室2厅 141.38平米,338,23908元,2017-12-19,锦江
华润凤凰城 3室1厅 138.47平米,338,24410元,2017-09-25,高新区
时代豪庭 3室2厅 155.79平米,337,21607元,2017-07-30,锦江
龙湖世纪峰景 4室2厅 322.29平米,337,10444元,2017-02-28,高新区
西派国际 4室2厅 219平米,337,15388元,2015-09-06,高新区
中海城南华府 3室2厅 134.75平米,337,25009元,2016-11-05,高新区
鹭岛国际社区二期 4室2厅 241.35平米,336,13922元,2016-09-19,武侯
翡翠城二期 4室3厅 229平米,336,14680元,2016-09-29,锦江
神仙树大院 3室2厅 140.93平米,336,23842元,2017-11-04,高新区
龙湖世纪峰景 3室2厅 148.64平米,336,22605元,2017-10-23,高新区
东苑小区E 4室2厅 153.83平米,336,21843元,2017-12-04,高新区
华润凤凰城 4室2厅 162.1平米,335,20666元,2017-01-08,高新区
紫檀 4室2厅 280.67平米,335,11936元,2015-09-10,武侯
雅典国际社区 4室2厅 172.18平米,335,19457元,2017-06-26,武侯
督院府邸 3室2厅 127.61平米,335,26252元,2017-09-20,锦江
上东阳光林曦 6室3厅 268.52平米,335,12476元,2017-09-26,龙泉
建发天府鹭洲 3室2厅 120.28平米,335,27852元,2017-10-09,高新区
蓝光富丽碧蔓汀 6室3厅 173平米,335,19365元,2017-10-24,金牛
成都花园上城 5室2厅 187平米,335,17914元,2016-02-01,青羊
时代尊城 3室2厅 131平米,335,25573元,2018-01-31,青羊
誉峰 4室2厅 183平米,335,18260元,2016-06-30,高新区
锦城世家 5室2厅 246平米,335,13636元,2016-05-28,金牛
